date,time,amount,recipient,location,description,category,subcategory,funding_source,source_month
7/5/25,Unknown,200,Me,,ozS,Consumables,5:1 1.0,,2025-07
7/5/25,Unknown,175,Rampage,,Rent + Tryke Debt,Networking,3:1 1.0,,2025-07
7/5/25,Unknown,12.6,Me,,Casey's Food + Drink,Food,4:1 1.0,,2025-07
7/6/25,Unknown,7.99,Me,,Words on the Bathroom Wall (CRU),Entertainment,7:1 1.0,,2025-07
7/6/25,Unknown,18.91,Me,,QT food + cigs,Consumables,5:2 1.0,,2025-07
7/6/25,Unknown,12.71,Me,,Circle K Work Drinks,Food,4:1 1.0,,2025-07
7/7/25,Unknown,10.3,Me,,QT Drinks,Food,4:1 1.0,,2025-07
7/7/25,Unknown,32.67,Me,,7-11 Gas,Car,1:1 1.0,,2025-07
7/7/25,Unknown,46.16,"Me, Rupture",,Global Quesadilla,Food;Networking,4:1 0.5;3:4 0.5,,2025-07
7/7/25,Unknown,53.49,Me,,Traya Vet,Animals,8:2 1.0,,2025-07
7/7/25,Unknown,-1985.43,Me,,Chestnut Check (biweekly paycheck),Acct Management,9:2 1.0,,2025-07
7/8/25,Unknown,13.64,"Me, Rampage",,McDonald's,Food;Networking,4:1 0.5; 3:1 0.5,,2025-07
7/8/25,Unknown,98.59,Rampage,,Car Parts,Networking,3:1 1.0,,2025-07
7/8/25,Unknown,15.76,Me,,QT Drink/Cigs,Consumables,5:2 1.0,,2025-07
7/8/25,Unknown,91,Rampage,,AutoZone,Networking,3:1 1.0,,2025-07
7/8/25,Unknown,300,Me,,Container Store Investment,Account Management,Transfer,,2025-07
7/9/25,Unknown,20.28,Me,,Food (6.98) + Cigs (12.37),Food;Consumables,4:1 0.3900; 5:2 0.6100,,2025-07
7/9/25,Unknown,50.6,"Me, Rampage, BB Luci",,Raising Cane's,Food;Networking,4:1 0.3333; 3:1 0.3333; 3.2 0.3333,,2025-07
7/9/25,Unknown,10,Husband,,CashApp,Networking,3:3 1.0,,2025-07
7/10/25,8:53 am,3.41,Me,,Water,Food,4:1 1.0,,2025-07
7/10/25,2:21 pm,14.19,"Me, Luci, Rampage",,Drinks,Networking;Food,3:1 0.2635;3:2 0.2107;4:1 0.2629;5:2 0.2629,,2025-07
7/10/25,5:00 pm,483.76,Husband,,Lady Vet,Animals,8:2 1.0,,2025-07
7/10/25,8:00 pm,-16.45,Rampage,,CashApp?,Networking,3:1 1.0,,2025-07
7/10/25,Unknown,153.86,Me,,Container Store Investment,Account Management,Transfer,,2025-07
7/11/25,2:15 am,11.2,Me,,CVS,Food,4:1 1.0,,2025-07
7/11/25,5:00 pm,6.17,Me,,Gstat,Consumables;Food,5:2 0.5931;4:1 0.4069,,2025-07
7/11/25,Unknown,145,Doof,,Cash,Consumables,5:1 1.0,,2025-07
7/11/25,Unknown,300,Rampage,,Rent + Seed Investment,Networking,3:1 1.0,,2025-07
7/13/25,Unknown,70,Rampage,,Gas,Networking,3:1 1.0,,2025-07
